,0,1,2,3,4,5,6
0,Regression coefficient,Moisture content (%wb),Hardness (N),Flavour,Body and texture,Colour and appearance,Yield of chhana (kg)
1,Bo,49.39,9.52,7.74,7.01,7.85,2.13
2,B1,0.36,0.42,0.062,-0.16,0.91,0.68
3,B2,3.98,4.11,0.089,1.22,-0.14,0.061
4,B3,4.01,4.36,0.26,1.09,0.20,0.038
5,B12,0.39,0.26,0.075,0.000,0.075,0.029
6,13,-0.15,0.094,0.000,0.12,0.025,0.044
7,23,-1.45,1.42,0.13,0.55,0.15,0.023
8,P11,0.099,0.34,0.024,0.11,0.037,0.056
9,B22,0.98,1.01,0.077,0.44,0.055,-2.701E-003
10,33,0.33,0.28,0.095,-0.013,0.055,-9.332E-004
11,R2,0.9678,0.9573,0.7683,0.9434,0.7048,0.9965
12,Adequate precision,20.046,17.185,7.066,14.798,5.418,68.236
13,PRESS,86.68,65.49,1.72,10.41,2.20,0.14
14,Model F value,33.40,24.92,3.68,18.53,2.65,319.36
15,Lack of fit,NS,NS,NS,NS,NS,NS
