,0,1,2,3,4,5
0,,p-K-CN,as2-CN,as1-I-CN,asi-CN,-CN
1,Semihard,,,,,
2,7 days,12.10.29,12.0  1.11,19.30.41,20.51.43,36.10.31
3,28 days,11.2+0.13,12.1  1.25,25.8 0.21,14.3  0.88,36.7 0.41
4,56 days,13.00.28,13.60.37,31.40.24,6.950.36,35.00.48
5,98 days,13.2  0.06,15.8  1.06,32.80.46,4.01  0.33,34.10.29
6,186 days,13.80.30,15.0 0.53,32.20.23,4.10  0.29,34.9  0.89
7,Maasdam cheese 1,,,,,
8,0 day,11.6  0.44,12.8  1.57,15.9  1.49,26.2  0.50,33.60.76
9,56 days,13.00.43,11.6  3.09,34.03.09,3.46  0.24,38.00.97
10,111 days,13.30.14,9.45  0.36,35.8  0.29,2.62  0.02,38.8  0.09
11,164 days,13.4 0.21,9.510.34,36.0  0.38,2.380.02,38.70.23
12,227 days,13.40.13,9.840.28,35.30.18,2.350.08,39.10.17
13,Maasdam cheese 2,,,,,
14,0 day,11.3 0.16,11.9  0.78,13.9  0.53,28.3  0.20,34.7  0.06
15,60 days,13.6 0.18,9.06  0.12,36.5  0.25,2.07  0.05,38.8  0.09
16,99 days,14.00.61,8.870.25,37.40.22,1.89  0.10,37.80.78
17,152 days,13.8  0.18,9.52  1.32,37.4  0.58,1.79  0.11,37.5  0.93
18,215 days,13.6 0.06,9.32  0.20,36.0 0.13,1.65  0.07,39.40.15
