,0,1,2,3
0,Bioactive peptides,Precursor protein,Bioactivity,References
1,Casomorphins,"-CN, -CN","Opioid agonist, ACE-inhibitory",Meisel (2005)
2,"-lactorphin,-lactorphin","-LA,-LG",Opioid agonist,Hernandez-Ledesma et al.(2008
3,"Lactoferroxins,Casoxins","LF,K-CN",Opioid antagonist,Hartmann et al.2007
4,Casokinins,"-CN,-CN",ACE inhibitory,Muguerza et al.2006
5,Lactokinins,-LA-LG,ACE inhibitory,Vanessa et al. (2009)
6,Immunopeptides,"-CN, -CN",Immunomodulatory,Nagpal et al.2011)
7,Lactoferricin,LF,Anti-microbial,Freiburghaus et al.(2009)
8,Casoplatelins,K-CN,Anti-thrombotic,Chabance et al. (1998)
9,Phosphopeptides,"-CN, -CN",Mineral binding,Silvia and Malcata (2005
