,0,1,2,3,4,5,6,7,8,9,10
0,,Counts (log cfu/g),Counts (log cfu/g),Counts (log cfu/g),,,,,,,
1,,,LAB,LAB,,,Yeasts,,,,
2,Sample,,on,on,,,and,,,,
3,n.,TMC,MRS,M17,Enterococci,CNC,moulds,pH,aw,Isolates,
4,,"Dairy 1,Caciocavallo cheese","Dairy 1,Caciocavallo cheese","Dairy 1,Caciocavallo cheese",,,,,,,
5,,8.04,8.00,7.54,<1,<1,<1,5.37,0.95,"Lacticaseibacillus paracasei (MRS,M17)","Lacticaseibacillus paracasei (MRS,M17)"
6,2,7.96,7.90,7.64,<1,<1,<1,5.33,0.96,"L.paracasei (MRS,M17)","L.paracasei (MRS,M17)"
7,3,8.04,8.04,7.52,5.84,3.94,<1,5.30,0.97,"Lactiplantibacillus plantarum (MRS), L. paracasei (M17),","Lactiplantibacillus plantarum (MRS), L. paracasei (M17),"
8,,,,,,,,,,,"Staphylococcus hominis,Enterococcus faecalis (efaA, ace, asal)"
9,4,8.00,7.79,7.41,5.23,<1,<1,5.43,0.96,"Lb.paracasei (MRS,M17,E.faecalis","Lb.paracasei (MRS,M17,E.faecalis"
10,5,8.08,8.08,7.74,5.57,<1,<1,5.40,0.97,"Lb.paracasei (MRS),Streptococcus thermophilus(M17)","Lb.paracasei (MRS),Streptococcus thermophilus(M17)"
11,,,,,,,,,,"E.faecalisefaAgelE,ace","E.faecalisefaAgelE,ace"
12,6,8.04,7.90,7.56,<1,3.96,3.26,5.60,0.95,"L.paracasei (MRS,M17),Staphylococcus warneri","L.paracasei (MRS,M17),Staphylococcus warneri"
13,7,7.83,8.38,7.20,<1,4.00,4.76,5.56,0.97,L.paracasei (MRS.M17Micrococcus luteus,L.paracasei (MRS.M17Micrococcus luteus
14,8,8.00,7.56,7.28,<1,3.20,4.65,5.63,0.96,"L.paracasei (MRS,M17),Staphylococcus cohnii subsp.cohnii","L.paracasei (MRS,M17),Staphylococcus cohnii subsp.cohnii"
15,9,8.15,8.04,7.30,<1,3.34,4.52,5.50,0.95,"L.paracasei (MRS,M17),Staphylococcus haemolyticus","L.paracasei (MRS,M17),Staphylococcus haemolyticus"
16,10,7.92,7.69,7.30,3.98,4.54,4.82,5.48,0.95,"L.paracasei (MRS,M17),S.warneri,E.faecalis","L.paracasei (MRS,M17),S.warneri,E.faecalis"
17,11,8.28,7.93,7.49,3.92,<1,<1,5.60,0.96,"L.paracaseiMRS,M17),S.hominis,E.faecalis","L.paracaseiMRS,M17),S.hominis,E.faecalis"
18,12,7.90,8.15,7.08,<1,<1,<1,5.33,0.95,"L.paracasei (MRS,M17","L.paracasei (MRS,M17"
