,0,1,2,3,4
0,Sl. No.,Metabolite,Assignment,1H chemical shift (ppm),Reference
1,52,Choline,3 CH3,3.18,Klein et al.(2010
2,53,Choline,O-CH2,4.06,Klein et al.2010)
3,54,Choline,N-CH,3.51,Klein et al.(2010
4,55,Creatinine,CH2,4.06,Klein et al.2010
5,56,Creatinine,CH3,3.05,Klein et al.2010
6,57,Ethanolamine,O-CH2,3.83,Klein et al.2010
7,58,Ethanolamine,N-CH2,3.15,Klein et al.2010
8,59,Galactose ,CH,4.07,Klein et al.2010
9,60,Galactose ,CH,3.81,Klein et al.(2010)
10,61,Galactose ,CH,4.57,Klein et al.(2010)
11,62,Galactose ,CH,3.49,Klein et al.(2010)
12,63,Glycerophosphocholine,O-CH,4.32,Klein et al.2010
13,64,Glycerophosphocholine,N-CH2,3.65,Klein et al.2010
14,65,Glycine,CH2,3.57,Klein et al.2010
15,66,Lactate,CH3,1.32,Klein et al.2010
16,67,Lactate,CH,4.11,Klein et al.2010
17,68,3-Methylhistidine,-CH,3.97,Klein et al.(2010
18,69,3-Methylhistidine,-CH,3.30/2.25,Klein et al.(2010)
19,70,3-Methylhistidine,CH3,3.74,Klein et al.(2010)
20,71,3-Methylhistidine,-CH,7.14,Klein et al.2010)
21,72,3-Methylhistidine,&-CH,8.09,Klein et al.2010
22,73,Phosphocholine,O-CH2,4.16,Klein et al.(2010
23,74,Phosphocholine,N-CH2,3.58,Klein et al.2010
24,75,Phosphocholine,3*CH,3.18,Klein et al.2010
25,76,Phosphocreatine,CH3,3.03,Klein et al.2010
26,77,Phosphocreatine,CH2,3.93,Klein et al.2010)
27,78,Taurine,S-CH2,3.43,Klein et al.2010
28,79,Taurine,N-CH2,3.27,Klein et al.2010
29,80,Triethylamine-N-oxide,CH3,3.27,Klein et al.2010
30,81,Formate,CH,8.45,Sacco et al.2009
31,82,Adenine,CH-8,8.12,Sundekilde et al.2013
32,83,Adenine,CH-2,8.13,Sundekilde et al.2013)
33,84,Butyrat,CH,0.9,Sundekilde et al.2013
34,85,Fumarate,CH,6.52,Sundekilde et al.(2013)
35,86,Hippurate,"CH-2,6",7.84,Sundekilde et al.(2013)
36,87,Hippurate,CH-4,7.64,Sundekilde et al.(2013
37,88,Hippurate,"CH2-3,5",7.54,Sundekilde et al.2013
38,89,Isoleucine,-CH3,0.93,Sundekilde et al.(2013)
39,90,Orotate,CH,6.2,Sundekilde et al.(2013)
