,0,1,2,3,4
0,Goat breed,Early lactation,Mid lactation,Late lactation,Mean
1,ALA (umol/mL) Mean SD,,,,
2,TS,8.465  1.241Bb,5.593  1.932Ba,14.778  1.874Aa,9.6124.353
3,MG,11.560  3.544Ab,9.608  2.870Aa,7.898  2.996Ab,9.689 3.302
4,HG,17.750  2.444Aa,8.337  2.575Ba,18.239  2.369Aa,14.775  5.240
5,Mean,12.592  4.658,7.846  2.885,13.638  4.859,
6,GLY (umol/mL)Mean SD,,,,
7,TS,5.5311.805Bb,4.488  1.297Ba,10.976 1.365Aa,6.998 3.322
8,MG,8.266  2.936Aab,6.768  2.442Aa,5.414.8  2.269Ab,6.8162.663
9,HG,12.096  3.503Aa,5.805  2.119Ba,13.1421.701Aa,10.348  4.106
10,Mean,8.6313.830,5.687 2.098,9.844  3.666,
11,VAL(umol/mL) Mean SD,,,,
12,TS,14.080  2.646Bb,9.514  2.582Ba,22.871  3.455Aa,15.488  6.429
13,MG,15.436  3.512Ab,14.567  3.463Aa,11.401  4.844Ab,13.8014.108
14,HG,23.484  4.090Aa,13.536  2.80gBa,23.044  4.795Aa,20.0216.014
15,Mean,17.667  5.363,12.5393.560,19.1056.835,
16,LEU (umol/mL)MeanSD,,,,
17,TS,27.710  7.25gAb,18.268 4.143Aa,30.755  3.794Aa,25.5787.301
18,MG,37.682  3.764Aab,28.753  6.033ABa,17.924  8.844Bb,28.12010.330
19,HG,41.988  9.903Aa,26.553  0.6629Ba,40.109  4.725Aa,36.2179.229
20,Mean,35.793  9.243,24.5256.103,29.596  10.695,
21,THR (umol/mL) Mean SD,,,,
22,TS,5.291  2.111Bb,4.249  2.049Ba,15.003  2.369Aa,8.1815.538
23,MG,8.3074.273Aab,7.002  4.369Aa,7.335 3.531Ab,7.5483.816
24,HG,13.148  2.200Aa,6.3373.782Ba,15.250  2.97gAa,11.5784.849
25,Mean,8.915  4.370,5.862 3.495,12.529  4.635,
26,SER (umol/mL) Mean  SD,,,,
27,TS,6.810  6.150Ba,6.8083.241Ba,17.241 3.840Aab,10.286  6.664
28,MG,7.730  5.034Aa,7.729  5.478Aa,8.705  4.022Ab,8.0554.545
29,HG,14.623  2.570ABa,7.092  4.415Ba,19.491  4.401Aa,13.7366.392
30,Mean,9.7215.741,7.2104.160,15.1466.006,
31,PRO (umol/mL) Mean SD,,,,
32,TS,30.787  8.589Bb,15.078  7.941Cb,59.990  8.632Aa,35.28521.271
33,MG,30.521  15.136Ab,33.244  14.430Aa,28.776  12.602Ab,30.84713.189
34,HG,65.084  10.572Aa,28.153  11.665Ba,61.659  20.220Aa,51.63222.024
35,Mean,42.13120.018,25.49213.383,50.14220.339,
36,MET (umol/mL) Mean  SD,,,,
37,TS,5.399  1.599ABb,3.949  0.673Ba,8.114 1.378Aa,5.821  2.157
38,MG,7.587  1.767Aab,6.546  1.559Aa,4.149  1.966Ab,6.094  2.216
39,HG,9.287  2.676Aa,4.841  0.890Ba,10.014  1.961Aa,8.0472.995
40,Mean,7.425.0  2.526,5.1121.514,7.426  2.943,
41,PHE (umol/mL) Mean  SD,,,,
42,TS,12.247  4.335Aa,6.890  1.933Aa,11.853  2.024Aab,10.330 3.697
43,MG,14.111 2.873Aa,11.591  4.150ABa,5.951  2.76gBb,10.5514.684
44,HG,13.942  5.106Aa,9.657  3.922Aa,14.0183.782Aa,12.539 4.514
45,Mean,13.434  3.992,9.379 3.790,10.6074.372,
46,LYS (umol/mL) Mean SD,,,,
47,TS,13.3776.760,3.8862.550,10.043  6.393,9.102  6.632
48,MG,12.0587.114,11.319 5.273,7.509  4.700,10.295 5.742
49,HG,13.510 11.223,10.344  9.483,10.519  8.636,11.458  9.233
50,Mean,12.981  7.998,8.5176.867,9.357  6.474,
