,0,1,2,3,4,5,6
0,,,,Median,,Median,
1,Metabolites,Code,%RPA Mean values of PdC,PdC,%RPA Mean values of CP,CP,P
2,Esters,,,,,,
3,Ethyl acetate,El,23.0130.14,11.79,8.19  20.07,0.00,0.008
4,Ethyl propionate,E2,18.52 42.85,0.00,0.00  0.00,0.00,0.087
5,n-Propyl acetate,E3,0.73 2.20,0.00,0.00  0.00,0.00,0.300
6,Isopropyl acetate,E4,0.96  2.89,0.00,0.00  0.00,0.00,0.198
7,Isobutyl acetate,E5,0.07 0.20,0.00,0.00  0.00,0.00,0.198
8,Ethyl butyrate,E6,1105.522114.93,281.53,546.33  913.28,102.74,0.627
9,Ethyl 2-methylbutyrate,E7,6.53  12.27,0.00,0.00  0.00,0.00,0.023
10,Ethyl 3-methylbutyrate,E8,13.3718.59,0.00,0.00  0.00,0.00,0.005
11,n-Butyl acetate,E9,3.01  4.34,0.00,0.00  0.00,0.00,0.015
12,1-Butanol-3-methyl acetate,E10,28.27  42.23,1.67,0.00  0.00,0.00,0.002
13,2-Butyl butyrate,Ell,5.60 11.52,0.00,0.000.00,0.00,0.131
14,Ethyl pentanoate,E12,42.31 122.69,0.00,14.26  27.88,0.00,0.527
15,2-Methylpropyl butyrate,E13,11.57  19.60,1.53,0.00  0.00,0.00,0.002
16,Methyl hexanoate,E14,1.59 4.77,0.00,0.00  0.00,0.00,0.198
17,n-Pentyl propionate,E15,5.36 10.89,0.00,0.00  0.00,0.00,0.131
18,1-Methylbutyl butyrate,E16,17.44  49.83,0.00,3.79  9.29,0.00,0.539
19,Butyl butyrate,E17,34.74  77.49,2.01,90.63  209.80,2.82,0.942
20,1-Methylethyl hexanoate,E18,72.59  212.15,0.00,3.75  9.18,0.00,0.539
21,Ethyl hexanoate,E19,2525.88  4775.60,152.92,1231.65  2389.74,197.41,0.532
22,3-Methylbutyl butyrate,E20,180.55  409.22,8.37,8.56  13.55,2.76,0.084
23,2-Methylpropyl hexanoate,E21,78.28  181.69,7.23,19.96  46.64,0.00,0.035
24,Propyl hexanoate,E22,301.12710.03,0.00,23.47 49.73,0.00,0.805
25,Ethyl heptanoate,E23,25.77  59.60,3.12,27.42  43.39,0.00,0.455
26,2-Propenyl hexanoate,E24,7.10 12.28,0.00,0.00  0.00,0.00,0.009
27,Methyl octanoate,E25,11.04  23.04,1.81,20.69  48.60,0.55,0.389
28,Butyl hexanoate,E26,11.44  15.44,0.00,11.08 19.47,0.00,0.610
29,Ethyl octanoate,E27,598.04  1331.24,145.01,667.86  1415.02,75.38,0.404
30,Propyl octanoate,E28,52.09 125.51,0.00,17.90  43.86,0.00,0.416
31,Isobutyl octanoate,E29,2.26  6.12,0.00,0.00  0.00,0.00,0.131
32,Methyl decanoate,E30,7.77 19.99,0.00,8.11  12.62,2.55,0.268
33,Ethyl decanoate,E31,242.91  461.22,67.48,313.04  573.77,76.66,0.808
34,Ethyl 9-decenoate,E32,171.12505.87,0.00,13.59  26.82,0.00,0.814
35,Ketones,,,,,,
36,2-Butanone,K1,37.46  71.30,0.00,0.00 0.00,0.00,0.005
37,2-Pentanone,K2,1.64  4.91,0.00,220.50  324.75,77.93,0.00001
38,2 Hexanone,K3,5.2813.81,0.00,17.4723.53,5.20,0.313
39,2-Heptanone,K4,556.77  1386.66,22.15,624.00  682. .26,366.37,0.026
40,2-Octanone,K5,9.77  27.65,0.00,15.06  11.03,12.85,0.0004
41,2-Nonanone,K6,157.22  308.43,14.28,239.35  167.16,256.78,0.022
42,2-Pentadecanone,K7,0.18  0.38,0.00,0.00  0.00,0.00,0.005
43,2-Pirrolidone,K8,4.5111.70,0.00,27.78  67.13,0.00,0.00001
44,Lactones,,,,,,
45,-Hexalactone,L1,19.51  53.62,0.68,4.79  7.73,0.00,0.417
46,8-Decalactone,L2,11.82  17.84,4.35,19.76  13.97,13.38,0.417
47,Alcohols,,,,,,
48,2-Butanol,All,14.07  24.06,0.00,14.79  36.22,0.00,0.459
49,1-Butanol-3-methyl,Al2,530.79 710.19,119.82,16.32  29.43,0.00,0.0002
50,2-Heptanol,Al3,97.17  276.71,1.96,18.24  21.11,12.37,0.715
