,0,1,2
0,Zero time,,
1,Measurement,Migration rate (mm/5 h),Diameter (um)
2,SHMP 1,1.080.24,0.880.19d
3,SHMP2,0.800.47,0.530.09a
4,SHMP 3,1.000.13b,0.84 0.32b
5,SHMP 4,1.13 0.23d,0.900.62e
6,SHMP 5,1.42 0.17f,1.010.11g
7,CO,1.34  0.22e,0.97 0.13f
8,CP,1.010.31b,0.850.23
9,3 days,,
10,Measurement,Migration rate (mm/5 h),Diameter(um
11,SHMP1,0.520.16,1.320.51b
12,SHMP2,0.400.21,1.110.32
13,SHMP 3,1.47  0.49e,2.13 0.18e
14,SHMP 4,7.260.25g,4.730.04
15,SHMP 5,0.550.10b,1.310.14c
16,CO,3.44 0.38f,5.340.08g
17,CP,0.97  0.76d,1.72  0.06d
18,7 days,,
19,Measurement,Migration rate (mm/5 h),Diameter(um
20,SHMP 1,0.700.37c,1.460.02c
21,SHMP2,0.65  0.09b,1.42  0.82b
22,SHMP 3,0.63  0.05a,1.400.79
23,SHMP 4,0.88  0.31d,1.650.51
24,SHMP 5,1.03  0.29f,1.780.30e
25,CO,1.02  0.52e,1.77 0.77f
26,CP,1.380.45g,2.060.13g
