,0,1,2,3,4,5,6,7,8,9
0,,,Improvement of farm responsibility on hygiene and safety standpoint,,,,,,,
1,,,Average,No change,,,Average,,Many change,
2,,?,,?,?,?,?,?,,Total
3,No.of farms,0,,0,0,12,17,22,33,84
4,Percentage (%),0,20.2%,0,0,14.3%,20.2%,26.2%,39.3%,100.0%
5,,Mean,Standard deviation,,5.90,,Standard deviation,Standard deviation,1.082,
6,Improvement of dairy rearing management,Improvement of dairy rearing management,,,,,,,,
7,No.of farms,0,,0,0,28,18,21,17,84
8,Percentage (%),0,21.4%,0,0,33.3%,21.4%,25.0%,20.2%,100.0
9,,Mean,Standard deviation,,5.32,,Standard deviation,Standard deviation,1.142,
10,Temperature management of raw milk storage tanka,Temperature management of raw milk storage tanka,Temperature management of raw milk storage tanka,Temperature management of raw milk storage tanka,,,,,,
11,No.of farms,1,,0,0,11,17,19,36,84
12,Percentage (%,1.2%,20.2%,0,0,13.1%,20.2%,22.6%,42.9%,100.0%
13,,Mean,Standard deviation,,5.90,,Standard deviation,Standard deviation,1.209,
14,Decrease of disease incidence rates,Decrease of disease incidence rates,,,,,,,,
15,No.of farms,0,,0,0,27,23,21,13,84
16,Percentage (%),0,,0,0,32.1%,27.4%,25.0%,15.5%,100.0%
17,,Mean,Standard deviation,,5.24,,Standard deviation,Standard deviation,1.071,
18,Improvement of dairy farm images,Improvement of dairy farm images,,,,,,,,
19,No. of farms,0,,1,1,13,11,31,27,84
20,Percentage (%),0,,1.2%,1.2%,15.5%,13.1%,36.9%,32.1%,100.0%
21,,Mean,Standard deviation,,5.80,,Standard deviation,Standard deviation,1.159,
