,0,1,2,3,4
0,Goat breed,Early lactation,Mid-lactation,Late lactation,Mean
1,Vitamin A (mg/L) Mean  SD,,,,
2,TS,0.239  0.068Aa,0.198  0.05gAb,0.327  0.090Aa,0.2550.091
3,MG,0.349  0.053Aa,0.336  0.182Aab,0.372  0.067Aa,0.352  0.109
4,HG,0.380  0.152ABa,0.577  0.278Aa,0.236  0.104Ba,0.398  0.229
5,Mean,0.323 0.113,0.370  0.242,0.312  0.100,
6,Vitamin E (mg/L) Mean  SD,,,,
7,TS,1.087  0.228,0.8030.175,0.403  0.045,0.764  0.330b
8,MG,1.280  0.467,1.427  0.225,1.095  0.447,1.267  0.392a
9,HG,1.545  0.762,1.359  0.478,0.724  0.125,1.209  0.607a
10,Mean,1.3040.530A,1.196  0.415A,0.741  0.380B,
11,Vitamin B (mg/L) Mean  SD,Vitamin B (mg/L) Mean  SD,,,
12,TS,0.626  0.126,0.624  0.126,0.857  0.237,0.702  0.191b
13,MG,0.974  0.325,1.350  0.459,1.393  0.306,1.239  0.394a
14,HG,1.3080.221,1.220  0.565,1.190  0.260,1.239  0.356a
15,Mean,0.969  0.363,1.065  0.513,1.147  0.353,
