,0,1,2,3,4
0,Sl.No.,Metabolite,Assignment,H chemical shift (ppm),Reference
1,1,Lactose (total),CH-2',3.54,Hu et al.2004
2,2,cis-aconitate,CH2,3.15,Buitenhuis et al.2013)
3,3,Fucose,CH,1.25,Buitenhuis et al.(2013)
4,4,Galactose-1-phosphate,CH-1,5.38,Buitenhuis et al. (2013)
5,5,Glucose,CH2,5.1,Buitenhuis et al.2013
6,6,Glucose-1-phosphate,CH-1,5.51,Buitenhuis et al. (2013)
7,7,Glutamate,-CH2,2.36,Buitenhuis et al.2013
8,8,Isobutyrate,CH,1.16,Buitenhuis et al. (2013)
9,9,Malonic acid,CH2,3.11,Buitenhuis et al.(2013
10,10,Methionine,"-CH,S-CH",2.15,Buitenhuis et al.2013
11,11,Ornithine,-CH2,1.8,Buitenhuis et al.(2013)
12,12,Urea,NH2,5.79,Buitenhuis et al. (2013)
13,13,Valine,CH,1.05,Buitenhuis et al. (2013)
14,14,Citrate,CH2,2.52,Hu et al.(2004)
15,15,Citrate,CH2,2.72,Hu et al.2004
16,16,Creatine,CH,3.79,Hu et al.(2004)
17,17,Creatine,CH2,2.88,Hu et al.2004)
18,18,Lecithin,3CH,3.12,Hu et al.2004
19,19,Lecithin,CH-4,4.22,Hu et al.2004)
20,20,Lecithin,CH2-3,4.18,Hu et al.2004
21,21,Lecithin,CH-5,3.75,Hu et al.(2004)
22,22,Lecithin,CH-5,3.83,Hu et al.(2004)
23,23,N-acetylcarbohydrates,CH3,2.06,Hu et al.2004
24,24,Lactose (total),CH-1',4.45,Klein et al.2010;Hu et al.2004
25,25,Lactose (total),CH-5',3.73,Klein et al.2010;Hu et al.2004
26,26,Lactose (total),CH-2,3.94,Klein et al.2010;Hu et al.2004
27,27,Lactose (total),CH-6,3.67,Klein et al.2010;Hu et al.2004
28,28,Lactose (total),CH2-6',3.78,Klein et al.2010;Hu et al.2004
29,29,Lactose ,CH-1,5.23,Klein et al.2010;Hu et al.2004
30,30,Lactose ,CH2-6,3.88,Klein et al.2010;Hu et al.2004
31,31,Lactose ,CH-3,3.59,Klein et al.2010;Hu et al.2004
32,32,Lactose,CH-4',3.96,Klein et al.2010;Hu et al.2004
33,33,Lactose ,CH-4,3.66,Klein et al.2010;Hu et al.2004
34,34,Lactose .,CH-5',3.84,Klein et al.2010;Hu et al.2004
35,35,Lactose,CH-1,4.67,Klein et al.2010;Hu et al.2004
36,36,Lactose,CH-4,3.66,Klein et al.2010;Hu et al.2004
37,37,Lactose ,CH-2,3.29,Klein et al.2010;Hu et al.2004
38,38,Lactose,1/2 CH-6,3.96,Klein et al.2010;Hu et al.2004
39,39,Lactose,CH-3,3.6,Klein et al.2010;Hu et al.2004
40,40,Lactose,1/2CH-6,3.81,Klein et al.2010;Hu et al.2004
41,41,Lactose,CH-5,3.84,Klein et al.2010;Hu et al.2004
42,42,Acetate,CH,1.92,Klein et al.2010
43,43,Acetone,CH,2.24,Klein et al.2010
44,44,Alanine,CH,3.79,Klein et al.2010
45,45,Alanine,CH,1.48,Klein et al.2010
46,46,-hydroxybutyrate,CH3,1.2,Klein et al.2010
47,47,Betaine,3CH3,3.26,Klein et al.(2010
48,48,Carnitine,3CH,3.21,Klein et al.2010
49,49,Carnitine,CH2,2.44,Klein et al.(2010)
50,50,Carnitine,N-CH2,3.43,Klein et al. (2010)
51,51,Carnitine,CH,4.57,Klein et al.2010
