,0,1,2,3,4,5,6
0,,,Blendedspreads:MF/MFS%,Blendedspreads:MF/MFS%,Blendedspreads:MF/MFS%,Blendedspreads:MF/MFS%,
1,,,50/50,,,90/10,
2,FA,Me,,SD,Me,,SD
3,C4:0,1.5,,0.1,2.8,,0.3
4,C6:0,1.0,,0.1,1.7,,0.2
5,C 8:0,0.7,,0.1,1.1,,0.1
6,C10:0,1.2,,0.1,2.1,,0.1
7,C10:1,0.1,,0.1,0.2,,0.1
8,C12:0,2.5,,0.2,2.5,,0.2
9,C14:0,5.2,,0.6,8.2,,0.1
10,C14:1,0.6,,0.10,1.0,,0.1
11,C16:0,27.2,,2.8,24.6,,2.6
12,C16:1,1.0,,0.1,1.6,,0.1
13,C18:0,9.3,,1.0,12.3,,1.3
14,C18:1,35.1,,3.6,30.5,,3.2
15,C18:2,10.7,,1.1,5.9,,0.6
16,C18:3,0.7,,0.1,1.2,,0.1
17,C20:0,0.3,,0.1,0.2,,0.1
18,C20:1,,,,,,
19,C22:0,0.1,,0.1,,,=
20,Others,2.8,,0.5,4.1,,0.1
21,TFA,4.3,,,6.3,,
22,SFA,50.7,,,57.9,,
23,MUFA,37.7,,,34.7,,
24,PUFA,11.7,,,7.4,,
25,Relation FA:,,,,,,
26,SFA/USFA,1.0,,,1.4,,
27,MUFA/PUFA,3.2,,,4.7,,
28,C18:2/C18:3,14.5,,,4.8,,
