,0,1,2,3,4,5
0,,,Powdered,Proteolytic activity,Amylolytic activity,Lipolytic activity
1,Spore-former species,Strain,milk origin,"index""(R/r)",index(R/r),"index""(R/r)"
2,B. amyloliquefaciens,A1,France,1.21,0,0
3,,A2,New Zealand,1.25,0,0
4,,A3,Ireland,1.21,0,2
5,,A4,Ireland,1.19,0,1.25
6,,A5,Germany,1.08,0,1.5
7,,A6,Ireland,1.3,0,1.5
8,B.cereus,C1,France,2,2.8,1.22
9,,C2,New Zealand,2.33,ND,ND
10,,C3,Ireland,1.12,ND,2
11,,C4,Ireland,2.5,3,1.22
12,,C5,Ireland,ND,ND,0
13,,C6,Ireland,3,ND,0
14,,C7,India,1.22,2.11,1.63
15,,C8,France,1.5,2,1.66
16,,C9,Belgium,1.17,1.5,1.23
17,,C10,France,1.25,1.77,3.25
18,,C11,Germany,1.29,1.33,1.15
19,,C12,New Zealand,1.66,1.55,4.5
20,,C13,India,1.22,2.11,4
21,,C14,Argentina,1.36,1.3,1.33
22,B. licheniformis,LI,France,0,0,0
23,,L2,Ukraine,0,0,0
24,,L3,Belgium,0,0,0
25,,L4,Germany,0,ND,0
26,B.majavensis/subtilis,M1,Ukraine,2.25,ND,ND
27,B. pumilis/safensis,P1,Argentina,1.25,0,0
28,,P2,Argentina,3,0,0
29,Bacillus sp.,S1,Netherlands,1.18,0,0
30,,S2,New Zealand,3.1,ND,ND
31,,S3,Ukraine,3.5 ,ND,1.22
32,,S4,Germany,1.5,4,
33,,S5,Netherlands,0,0,0
34,B.subtilis,T1,New Zealand,1.44,2,0
35,,T2,Netherlands,3.5,ND,0
36,,T3,Ukraine,3,ND,0
37,,T4,New Zealand,1.44,2,0
38,,T5,Netherlands,3,2.14,0
39,G.toebii,G1,India,1.15,0,0
