,0,1,2,3,4,5
0,,Cluster,Cluster,Cluster,Cluster,Cluster
1,Samples,1,2,,3,4
2,T14,7.65a,6.57b,7.25ab,7.25ab,4.40c
3,T21,7.24a,7.28a,7.58a,7.58a,5.05b
4,T28,7.06a,5.88b,6.33ab,6.33ab,3.80c
5,014,6.72a,4.77b,4.75b,4.75b,2.70c
6,021,6.75a,3.88b,3.75bc,3.75bc,3.05c
7,028,5.62a,4.08b,2.66c,2.66c,2.95c
8,LD14,7.68a,7.94a,4.75b,4.75b,7.40a
9,LD21,8.00a,7.50ab,5.10c,5.10c,7.20b
10,LD28,8.24a,7.77ab,6.00c,6.00c,7.25b
11,Age (min-max),18-47,18-36,18-23,18-23,19-35
12,Fine Cheeses,Yes,Yes,Yes,Yes,Yes
13,Consumption,,,,,
14,Camembert,Yes,Yes,No,,Yes
15,Consumption,,,,,
