,0,1,2,3,4
0,Dry Matter (%),,,,
1,Sample,Day 1,Day 7,Day 14,Day 21
2,CS,13.18  0.04aA,13.14  0.07aA,13.26  0.04aA,13.28  0.04aA
3,RE,13.14  0.06bA,13.24  0.06abA,13.30  0.04abA,13.36  0.04aA
4,GSE,13.170.03bA,13.210.03bA,13.28  0.02abA,13.36  0.04aA
5,TE,13.12  0.03cA,13.15  0.04bcA,13.27  0.04abA,13.30  0.03aA
6,GTE,13.18  0.03aA,13.20  0.02aA,13.31  0.04aA,13.32  0.05aA
7,ME,13.180.01bA,13.20  0.01bA,13.26 0.03abA,13.32  0.04aA
8,Syneresis (%),,,,
9,,Day 1,Day 7,Day 14,Day21
10,CS,37.50  1.41aB,36.39  2.28aB,31.75  1.40bCD,27.36  1.92bc
11,RE,40.00  1.38aB,36.74  1.40abB,33.21  0.30cc,35.54  1.37bcAB
12,GSE,32.05  1.34cc,39.40  0.85aAB,36.42  0.59abB,34.50  1.35bcAB
13,TE,39.11  1.26aB,36.18  1.16abB,36.10  1.56abB,34.55  0.007bAB
14,GTE,30.35  0.49cC,38.50  0.71abAB,39.85  0.21aA,37.77  1.09bA
15,ME,42.78  1.41aA,41.64  1.51aA,30.85  0.21cD,33.56  0.93bB
