,0,1,2,3,4,5,6,7,8
0,,,,CN:,,Relative content (%),Relative content (%),Relative content (%),
1,tR,M+NH4,Formula,DB,TAGs identified,RM,HM,PM,FM
2,6.123,656.53,C3gH7gNO6+,36:0,"CoCyBeh,CoCaAr,CoLaS,CoMP",5.810.28a,5.730.21,6.480.30,6.250.33a
3,,,,,"CoPePe,CyCaS,CyLaP,CyMM",,,,
4,,,,,"CaLaM,CaPCa",,,,
5,6.259,682.54,C4HgoNO+,38:1,"CoLaPl,CoMO,CoPaPCyCaPl,",,5.620.316.250.255.610.40,,6.05  0.22a
6,,,,,"CyLaO,CyMPa,CaLaPa,CaMMy",,,,
7,,,,,CaOCa,,,,
8,6.447,684.64,C4Hg2NO+,38:0,PSBu,,0.930.01.040.201.280.16,,1.050.02
9,6.549,708.64,C4H2NO+,40:2,"CoOPa,CoLP,CoMyPl,CyOMy",,2.520.212.680.062.980.22,,2.680.21
10,,,,,"CyLM,CyPaPa,CaLLa,CaPaMy",,,,
11,6.805,670.53,C4oHgoNO+,37:0,"CoCyT,CoMMa,CoPeP,CyMPe",,1.190.051.160.011.270.04,,1.220.02a
12,,,,,"CyMaLa,PMaBu",,,,
13,6.907,734.65,C4sHg4NO6+,42:3,"CoLnS,CoLO,CaLnM,CaLMy",,0.400.010.380.040.400.02,,0.380.01a
14,7.128,696.64,C42H2NO+,39:1,"BuPePl,BuMaOCoPeO,CoMaPa",,0.510.030.490.010.510.11,,0.490.02
15,7.606,684.64,C4Hg2NO+,38:0,"CoCyLgCoCaBeh,CoLaAr,CoMS,",,3.410.113.230.343.280.20,,3.44  0.28a
16,,,,,"CoPPCoMaPe,CyCaAr,CyLaS",,,,
17,,,,,"CyMP,CaMM,CaSCa,LaMLa",,,,
18,,,,,"LaPCa,PSBu",,,,
19,7.743,710.64,C43Hg4NO+,40:1,"CoMPl,CoPaS,CoPO,CyLaPl,",,2.520.502.490.052.090.212.590.06,,
20,,,,,"CyMO,CyPaP,CaLaO,CaMPa",,,,
21,,,,,"CaPMy,LaMMy,LaPaLa",,,,
22,8.066,736.65,C4sH86NO+,42:2,"CoPaPl,CoOO,CyPaOCaPaPa",,1.120.021.050.031.110.011.070.06,,
23,,,,,CaOMy,,,,
24,8.356,698.64,C42H84NO+,39:0,"CoCaT,CoMN,CoPeS,CoPMa",,0.070.020.090.010.080.03,,0.070.01a
25,,,,,"CyCaHen,CyMMa,CyPeP",,,,
26,,,,,"CaMPe,CaMaLa",,,,
27,8.629,762.65,C47H88NO+,44:3,"CyPD,CyLnS,CyLO,CaMD",,0.200.020.190.040.200.08,,0.190.02
28,,,,,"CaPLn,CaLPa,LaMLn,LaLMy",,,,
29,8.714,724.64,C44Hg6NO6+,41:1,"CyMNo,CyPeO,CyPH,CyMaPa",,0.440.010.420.070.440.04,,0.410.01
30,,,,,"CaLaNo,CaMH,CaPePa,CaPPen",,,,
31,,,,,CaMaMyLaMPenLaPeMy,,,,
32,,,,,MaOCo,,,,
33,9.346,712.64,C43Hg6NO+,40:0,"CyCaBeh,CyLaAr,CyMS,CyPP",,1.810.111.950.101.900.05,,1.910.03
34,,,,,"CaLaS,CaMP,LaMM,LaPLa",,,,
35,9.499,738.65,C4sH8gNO+,42:1,"CyMyArCyMPl,CyPaS,CyPO",,2.380.382.250.022.360.222.270.11,,
36,,,,,"CaLaPl,CaMyS,CaMO,CaPaP",,,,
37,,,,,LaMyPLaMPaLaOLaMyMM,,,,
38,9.755,764.65,C47H9oNO+,44:1,"CyPaPl,CyLS,CyOO,CaMyPl,",,0.700.040.650.050.700.02,,0.660.05
39,,,,,"CaPaOCaLP,LaMyOLaPaPa",,,,
40,,,,,"LaLM,MyPaM",,,,
41,10.096,726.64,C44HggNO+,41:0,"CaLaN,CaMMa,LaMPe,LaMaLa",,0.470.030.450.010.480.03,,0.600.01
42,,,,,"PeSCy,PMaCy,MaSCo",,,,
43,10.488,790.66,C49H92NO+,46:3,"CaPD,CaLnS,CaLO,LaMD",,0.260.100.340.030.25 0.02,,0.240.03
44,,,,,"LaPLn,LaLPa,MLnM,MLMy",,,,
45,10.608,752.65,C46H9oNO+,43:1,"CyMyHenCyPePl,CyPNo,CyHS",,0.320.040.300.060.320.04,,0.310.05
46,,,,,"CyOMa,CyNoP,CaMyN,CaPeO",,,,
47,,,,,"CaPH,CaNoM,MyPeM",,,,
48,11.324,740.65,C4sH9oNO6+,42:0,"CaLaAr,CaMS,CaPP,LaMP",,2.440.182.450.222.470.01,,2.400.01
49,,,,,"LaSLa,PSCy",,,,
50,11.461,766.65,C47H92NO6+,44:1,"CaMPl,CaPaS,CaPO,LaMO",,2.100.221.980.182.050.101.970.22,,
51,,,,,"LaPaP,MPaM,MPMy",,,,
