,0,1,2,3,4,5,6
0,,Uncoded values,Uncoded values,,,,
1,,(ingredients proportions-%),(ingredients proportions-%),,Coded values,Coded values,
2,,,Whey,Milk,,,
3,Mixtures,Buttermilk,powder,powder,A,B,C
4,1,50,0,50,10.5,0,10.5
5,2,0,0,100,0,0,21
6,3,100,0,0,21,0,0
7,4,50,50,0,10.5,10.5,0
8,5,100,0,0,21,0,0
9,6,16.66,66.66,16.66,3.5,14,3.5
10,7(Control),0,50,50,0,10.5,10.5
11,8,0,100,0,0,21,0
12,9,16.66,16.66,66.66,3.5,3.5,14
13,10,66.66,16.66,16.66,14,3.5,3.5
14,11,33.33,33.33,33.33,7,7,7
15,12,0,0,100,0,0,21
