,0,1,2,3,4,5,6
0,Analyte,Precursor ion (m/z),Product ions (m/z),DP(V),EP(V),CE(V),CXP (V)
1,Cortisol,363.4,121.0a,60,10,35,11
2,,,327.0,60,10,35,11
3,Testosterone,289.4,97.0a,100,11,28,14
4,,,109.0,100,10,31,14
5,Methyltestosterone,303.2,109.0a,100,10,47,14
6,,,97.0,100,10,47,14
7,Progesterone,315.2,109.0a,100,11,29,10
8,,,97.0,100,11,29,10
9,17-Oestradiol(E,271.4,145.0a,60,-10,52,-11
10,,,183.1,60,-10,-52,-11
11,(H4-Cortisol,367.4,331.1a,60,10,21,10
12,(H)-Testosterone,291.1,111.1a,60,10,30,35
13,(H)-Methyltestosterone,306.3,288.1a,60,10,30,22
14,(H)-Progesterone,324.4,100.0a,50,10,27,11
15,H-17-OestradiolE,273.1,185.0a,60,-10,-50,-11
16,Ms conditions,Ionisation tvpe:ESI,,,,,
