,0,1,2,3,4,5,6,7,8,9,10
0,,Factors,,,,,,Characteristics,Characteristics,,
1,,,,,,,,,,Loose bulk,Loose bulk
2,,Coded values,,,Experimental values,,,Solubility (%),Solubility (%),density (kg/m3),density (kg/m3)
3,,,,,Inlet drying,,Normalised,,,,
4,,Inlet drying,Feed,Normalised,temperature,Feed rate,fat,,,,
5,Run,temperature,rate,fat content,(C),(L/h),content (%),Cow,Camel,Cow,Camel
6,-,-1,-1,0,160,0.2,50,81.0,81.8,143,156
7,2,1,-1,0,200,0.2,50,84.3,82.9,144,152
8,3,-1,1,0,160,1,50,73.8,75.8,173,192
9,4,1,1,0,200,1,50,78.6,81.3,156,172
10,5,-1,0,-1,160,0.6,0,93.3,91.8,173,210
11,6,1,0,-1,200,0.6,0,92.3,93.3,161,215
12,7,-1,0,1,160,0.6,100,74.2,77.3,175,201
13,8,,0,1,200,0.6,100,75.1,78.6,139,192
14,9,0,-1,-1,180,0.2,0,98.7,96.2,161,207
15,10,0,1,-1,180,1,0,82.1,83.7,152,220
16,11,0,-1,1,180,0.2,100,69.0,78.6,125,185
17,12,0,1,1,180,1,100,68.8,67.3,192,217
18,13,0,0,0,180,0.6,50,86.1,82.4,164,225
19,14,0,0,0,180,0.6,50,88.9,84.6,167,200
20,15,0,0,0,180,0.6,50,86.0,87.4,172,210
21,16,0,0,0,180,0.6,50,80.1,82.2,170,212
