,0,1,2,3,4
0,,Storage days,,,
1,,1,7,14,21
2,Colour,,,,
3,SF,5.000.00,5.000.00,5.000.00,5.000.00
4,SD,5.000.00,5.000.00,4.950.07,4.950.07
5,BF,5.000.00,5.000.00,5.000.00,5.000.00
6,BD,4.92 0.12,4.95  0.07,5.000.00,4.95  0.07
7,BSF,5.00 0.00,5.000.00,5.000.00,5.000.00
8,BSD,5.000.00,4.95 0.07,4.950.07,4.950.07
9,Flavour/taste/aroma,,,,
10,SF,4.84  0.23aXY,4.48  0.04abxy,4.130.18bc,3.95  0.07cXY
11,SD,3.63  0.53z,4.40  0.14YZ,4.580.35,4.80  0.00w
12,BF,4.25 0.11aY,4.15  0.21aZ,3.67  0.23b,3.45  0.07bz
13,BD,4.75  0.11aXY,4.75  0.07ax,3.42  0.35b,3.13  0.04bT
14,BSF,4.59  0.12XY,4.45  0.07XY,4.42  0.35,4.15  0.07Y
15,BSD,5.00  0.00ax,4.75  0.07ax,4.00  0.47b,3.85  0.21bx
16,Texture/consistency,,,,
17,SF,4.670.00a,4.73  0.04abx,4.79  0.06b,4.80  0.00bx
18,SD,4.67  0.00,4.70  0.00,4.67 0.23,4.75  0.07
19,BF,4.42  0.12a,4.25  0.07aY,4.25 0.11ab,4.12  0.03bZ
20,BD,4.42  0.35a,4.10  0.14abY,3.59  0.59b,3.00  0.00bY
21,BSF,4.34 0.47,4.65  0.07,4.38  0.29,4.25  0.07Z
22,BSD,4.84  0.23,4.65  0.21,4.25  0.11,4.25  0.07z
23,Overall acceptance,,,,
24,SF,4.750.35,4.350.07,4.340.23,4.15  0.07XY
25,SD,4.090.12,4.100.14,4.460.41,4.25  0.07
26,BF,4.59 0.12,4.600.14,4.04  0.30,3.85  0.21
27,BD,4.790.30,4.40 0.14,3.880.29,3.90  0.14YZ
28,BSF,4.420.12,4.25 0.35,4.500.71,4.00  0.00xYZ
29,BSD,4.750.35,4.45  0.07,4.29  0.65,3.80  0.00
