,0,1,2,3,4,5,6,7,8,9,10
0,,,Total antioxidant,Total antioxidant,Total phenolic,,,,,,
1,,Reduced,activity(FRAP),activity(DPPH,content (mg,,,,,,
2,Probioticyoghurt,sugar(%),(mg Trolox/100,(mg Trolox/100 g),GAE/100 g),L*,a*,b*,C*,h*,E*
3,C,2.50c,49.35b,1.47b,13.89b,91.56a,3.25b,8.03a,8.67b,-1.19d,
4,CB,2.89a,62.95a,1.49b,15.07a,63.04b,18.40a,5.16b,19.15ab,0.28a,65.89c
5,CBS,2.62b,62.06a,1.53a,14.58a,64.54b,21.88a,3.74c,22.21a,0.17b,68.27ab
6,CBT,2.83a,61.44a,1.52a,14.90a,66.61b,21.35a,2.89c,21.55a,0.14c,70.01a
7,Storage time (T),,,,,,,,,,
8,1,2.68a,58.21a,1.44c,14.56b,70.98b,13.95c,4.59b,17.11c,-0.16b,73.36c
9,14,2.70a,57.68b,1.54a,14.90a,71.61a,14.61b,4.76b,17.76b,0.16b,74.16b
10,28,2.71a,55.72c,1.53b,14.37c,71.73a,15.22a,5.52a,18.80a,-0.13a,74.59a
11,Anova,,,,,,,,,,
12,Sample (S),**,**,**,**,**,**,**,**,**,**
13,Storage time (T),ns,**,**,**,**,**,**,**,**,**
14,S*T,ns,**,**,**,**,**,**,**,**,**
